Country Name,Year,Exports_GDP_percent,GDP growth (annual %),GDP_per_capita,Imports_GDP_percent,"Inflation, consumer prices (annual %)",Population_growth_percent,"Unemployment, total (% of total labor force) (national estimate)"
Papua New Guinea,2020,,-3.167432044,6482.738826,,4.871673986,2.128663097,
Papua New Guinea,2021,,-0.511353419,6322.599236,,4.48359014,1.988603122,
Papua New Guinea,2022,,5.707584042,6558.830791,,5.253239222,1.882449614,2.689
Papua New Guinea,2023,,3.810886229,6686.581078,,2.298699913,1.811031625,
Papua New Guinea,2024,,4.095029002,6837.421295,,0.602403921,1.782607338,
Philippines,2015,27.20805724,6.348309717,142346.2307,31.93353487,0.674192537,1.478753843,3.068
Philippines,2016,26.67300334,7.14945675,150490.1644,35.10306242,1.253698801,1.341907095,2.695
Philippines,2017,29.55229085,6.930988326,158860.7737,38.61607889,2.853187726,1.288301867,2.552
Philippines,2018,30.21360537,6.341485572,166858.2868,41.94979293,5.309346616,1.236860333,2.338
Philippines,2019,28.38292001,6.118525662,174927.1789,40.45892225,2.392065344,1.216155346,2.237
Philippines,2020,25.20283931,-9.51829474,156474.3531,32.96672099,2.393162393,1.145514086,2.522
Philippines,2021,25.75203492,5.714733132,163925.0972,37.7325749,3.927180221,0.905660311,3.398
Philippines,2022,28.38740155,7.580982128,175016.194,44.04228206,5.821158112,0.760479216,2.598
Philippines,2023,26.63684935,5.518949679,183185.4203,40.78311997,5.978025155,0.810000999,
Philippines,2024,25.77344115,5.692016128,192020.4758,40.11203137,3.21260487,0.825602489,
Samoa,2015,27.14094673,3.850361817,9550.330059,47.49340828,0.724470135,0.868555728,
Samoa,2016,28.77802032,7.983862878,10225.80209,46.43379715,1.304718693,0.847318415,
Samoa,2017,29.66227547,1.4062824,10272.88367,44.34880529,1.749896775,0.93712322,9.4
Samoa,2018,31.9656782,-0.609647103,10103.66795,46.96929023,4.197458887,1.049411926,
Samoa,2019,35.03333014,4.451858917,10442.89351,48.29774944,0.98232657,1.05329202,
Samoa,2020,29.19595987,-3.108444011,10014.97188,48.28764013,-1.568912477,1.02627263,
Samoa,2021,11.68569005,-7.078830943,9226.149435,49.20319561,3.133204732,0.862068229,
Samoa,2022,12.26638262,-5.3062909,8676.434654,52.71679771,10.96188223,0.690847424,5.048
